id,center_x,center_y,center_z,dG_separated,dSASA,sc_value,L_RMSD_to_nearest_leader,dist_to_nearest_leader,drop_reason
17092,-64.11,-6.62,-2.74,-6.933474901632508,584.6803969821568,0.6798288822174072,17.27,0.71,cap_full_no_match
45210,-78.6,-1.52,-9.33,-6.89424234137141,534.0152263689946,0.6305006146430969,17.32,2.28,cap_full_no_match
46719,-64.29,-0.91,7.19,-6.8774631499300085,650.0206217408811,0.5844820737838745,9.41,1.36,cap_full_no_match
49322,-65.98,-0.6,0.73,-6.875975417152858,667.7502735730948,0.5159586668014526,13.88,1.39,cap_full_no_match
45331,-67.79,-4.26,-2.32,-6.837478195757285,558.8636806121292,0.5699658393859863,15.7,1.07,cap_full_no_match
49441,-67.32,1.4,-8.96,-6.794796969948948,669.8227550971018,0.5766527652740479,14.97,1.6,cap_full_no_match
44239,-66.45,0.06,-5.48,-6.791133994761822,617.828085743997,0.578429639339447,12.26,1.27,cap_full_no_match
17118,-66.06,0.18,-1.45,-6.765812658561117,637.2076011966301,0.6766787171363831,9.58,1.47,cap_full_no_match
19378,-68.64,-1.56,-0.09,-6.7585667643434135,592.5825652175241,0.6075000166893005,12.64,2.38,cap_full_no_match
17165,-73.32,-0.49,-11.27,-6.671629279798253,534.230196633708,0.6221591234207153,9.79,2.23,cap_full_no_match
30652,-63.54,-0.04,4.03,-6.639445056287968,495.6786892550131,0.6644235849380493,15.71,1.12,cap_full_no_match
8220,-64.41,0.78,3.78,-6.622398685285134,605.7715141686169,0.6580312252044678,14.17,1.24,cap_full_no_match
33136,-75.23,-1.2,-12.62,-6.590636195915067,570.3717456242302,0.6781944036483765,19.67,2.09,cap_full_no_match
46306,-64.14,3.15,-15.09,-6.559380278480148,572.6107082878208,0.5508036017417908,16.28,2.4,cap_full_no_match
33268,-66.67,0.97,3.73,-6.553301050281334,514.8465389329834,0.5194489359855652,11.45,0.67,cap_full_no_match
23100,-66.37,0.22,6.03,-6.541450274368799,507.47842593468863,0.5067777633666992,16.9,1.01,cap_full_no_match
15533,-66.0,-6.66,1.48,-6.49070908665999,563.9839026180821,0.5637433528900146,19.5,0.69,cap_full_no_match
1595,-66.55,1.55,-0.15,-6.485532103061814,582.4605786412059,0.7221859097480774,16.89,1.34,cap_full_no_match
21675,-67.58,-0.2,-9.91,-6.482885730106773,632.9067841249226,0.6267017126083374,16.33,0.96,cap_full_no_match
20581,-67.6,0.29,-6.87,-6.42946885772335,522.5105744452086,0.639090895652771,9.92,1.24,cap_full_no_match
10668,-65.76,2.16,-8.55,-6.208410747954076,591.6563383760381,0.5709679126739502,15.43,1.9,cap_full_no_match
15648,-66.05,0.46,-2.69,-6.187947460537089,583.0191227869385,0.6169470548629761,10.51,2.11,cap_full_no_match
26687,-67.84,-1.94,-12.35,-6.147236810485083,604.5342774114445,0.5199499726295471,17.15,0.84,cap_full_no_match
36289,-67.64,0.89,-10.51,-6.137221970063365,596.147272223911,0.5694230198860168,14.93,0.86,cap_full_no_match
23023,-66.42,-1.06,0.73,-6.087752964488118,505.00918065108044,0.6781934499740601,9.75,1.42,cap_full_no_match
29695,-66.21,-1.91,7.68,-6.068957111931468,564.4033013588269,0.5115261673927307,14.37,1.6,cap_full_no_match
17711,-67.12,-2.79,-5.54,-5.992183441965153,527.3911355952964,0.5958479642868042,13.07,1.08,cap_full_no_match
7030,-67.67,-0.1,-11.0,-5.989521094542852,576.6120656449807,0.563432514667511,14.48,0.86,cap_full_no_match
26260,-66.27,-2.68,4.18,-5.928603414847657,551.8853888415221,0.6122416257858276,14.35,1.41,cap_full_no_match
46900,-66.0,-6.68,-2.76,-5.9201207791211345,575.2668511847513,0.5860323905944824,8.7,1.46,cap_full_no_match
7320,-68.86,1.0,-10.77,-5.9038732640242415,571.1757994180765,0.5850555896759033,13.4,0.78,cap_full_no_match
31530,-65.35,-0.94,-10.68,-5.871105697778148,532.5994385508337,0.5934059619903564,9.85,1.75,cap_full_no_match
36743,-63.67,-4.13,6.14,-5.745691589904709,563.936352092239,0.5172500610351562,15.77,2.18,cap_full_no_match
22570,-68.7,-0.12,4.44,-5.682070411527093,559.0895494883939,0.591757595539093,16.04,1.78,cap_full_no_match
11164,-66.57,-1.21,-10.13,-5.663351551194864,540.8821816473624,0.575092077255249,11.18,1.06,cap_full_no_match
55,-68.34,-0.68,-2.11,-5.587024603715236,536.1829951131417,0.6449481248855591,12.84,1.93,cap_full_no_match
7351,-74.24,-0.69,-9.39,-5.46726751223423,503.0047514538634,0.514123260974884,8.88,1.24,cap_full_no_match
8460,-67.82,-0.08,-11.5,-5.306595473267862,503.2000964607655,0.6400066614151001,14.9,0.95,cap_full_no_match
