receptor_id,pocket_id,centroid_x,centroid_y,centroid_z,box_size_x,box_size_y,box_size_z,relationship_class,hotspot_overlap_count,hotspot_overlap_fraction,centroid_distance_to_patch_A,druggability_confidence,overall_druggability_tier,best_druggability_score,n_sources,multi_source_support,state_class,n_states_matched,docking_priority,priority_basis,recommended_exhaustiveness,recommended_n_poses,recommended_seeds,dockable,skip_reason
3GT8_raw,3GT8_raw_PKT01,44.454,32.261,18.584,14.4,13.7,13.2,orthosteric_candidate,4,0.571,132.57,high,tier_1,0.7120,1,False,state_specific_pocket,1,primary,tier_1 + orthosteric_candidate,32,20,3,True,
3GT8_raw,3GT8_raw_PKT02,28.490,45.493,12.601,11.2,11.6,12.3,orthosteric_candidate,3,0.429,124.38,medium,tier_2,0.4450,1,False,state_specific_pocket,1,primary,tier_2 + orthosteric_candidate,32,20,3,True,
3GT8_raw,3GT8_raw_PKT03,60.790,25.173,31.012,11.3,10.6,10.4,low_relevance_candidate,0,0.000,149.96,low,tier_3,0.1980,1,False,state_specific_pocket,1,skip,tier_3 + low_relevance (not recommended for docking),0,0,0,False,tier_3 + low_relevance (not recommended for docking)
