pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,A1_weighted,A2_weighted,A3_weighted,A4_weighted,perturbation_score,rank
EGFR_160-185_PKT12,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.2814,0.1433,0.6297,0.65,0.0844,0.0358,0.1889,0.0975,0.4066,35
EGFR_160-185_PKT12,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.2814,0.1433,0.6297,0.65,0.0844,0.0358,0.1889,0.0975,0.4066,36
EGFR_170-200_PKT10,EGFR_170-200,173940,interface_rim_modulator_candidate,low,0.2814,0.1418,0.6297,0.65,0.0844,0.0355,0.1889,0.0975,0.4063,37
EGFR_170-200_PKT10,EGFR_170-200,97806,interface_rim_modulator_candidate,low,0.2814,0.1418,0.6297,0.65,0.0844,0.0355,0.1889,0.0975,0.4063,38
EGFR_170-200_PKT10,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,low,0.2814,0.1418,0.6297,0.65,0.0844,0.0355,0.1889,0.0975,0.4063,39
EGFR_160-185_PKT07,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.2814,0.1532,0.6197,0.65,0.0844,0.0383,0.1859,0.0975,0.4061,40
EGFR_160-185_PKT15,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.2814,0.1412,0.6297,0.65,0.0844,0.0353,0.1889,0.0975,0.4061,41
EGFR_160-185_PKT15,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.2814,0.1412,0.6297,0.65,0.0844,0.0353,0.1889,0.0975,0.4061,42
EGFR_160-185_PKT15,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.2814,0.1412,0.6297,0.65,0.0844,0.0353,0.1889,0.0975,0.4061,43
EGFR_170-200_PKT17,EGFR_170-200,97806,interface_rim_modulator_candidate,medium,0.3386,0.1328,0.5791,0.65,0.1016,0.0332,0.1737,0.0975,0.406,44
EGFR_170-200_PKT12,EGFR_170-200,97806,interface_rim_modulator_candidate,low,0.2814,0.1391,0.6297,0.65,0.0844,0.0348,0.1889,0.0975,0.4056,45
3GT8_raw_PKT02,3GT8_raw,173940,interface_rim_modulator_candidate,low,0.2798,0.1508,0.6197,0.65,0.0839,0.0377,0.1859,0.0975,0.405,46
EGFR_160-185_PKT23,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.2814,0.1289,0.6297,0.65,0.0844,0.0322,0.1889,0.0975,0.403,47
EGFR_160-185_PKT23,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.2814,0.1289,0.6297,0.65,0.0844,0.0322,0.1889,0.0975,0.403,48
EGFR_160-185_PKT23,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.2814,0.1289,0.6297,0.65,0.0844,0.0322,0.1889,0.0975,0.403,49
EGFR_170-200_PKT12,EGFR_170-200,173940,interface_rim_modulator_candidate,low,0.2814,0.1391,0.6197,0.65,0.0844,0.0348,0.1859,0.0975,0.4026,50
EGFR_170-200_PKT12,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,low,0.2814,0.1391,0.6197,0.65,0.0844,0.0348,0.1859,0.0975,0.4026,51
3GT8_raw_PKT08,3GT8_raw,173940,interface_rim_modulator_candidate,medium,0.3062,0.1229,0.6444,0.5667,0.0919,0.0307,0.1933,0.085,0.4009,52
3GT8_raw_PKT14,3GT8_raw,173940,interface_rim_modulator_candidate,low,0.2798,0.1151,0.6297,0.65,0.0839,0.0288,0.1889,0.0975,0.3991,53
3GT8_raw_PKT14,3GT8_raw,97806,interface_rim_modulator_candidate,low,0.2798,0.1151,0.6297,0.65,0.0839,0.0288,0.1889,0.0975,0.3991,54
3GT8_raw_PKT14,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,low,0.2798,0.1151,0.6297,0.65,0.0839,0.0288,0.1889,0.0975,0.3991,55
EGFR_160-185_PKT09,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.2814,0.1514,0.6297,0.5667,0.0844,0.0379,0.1889,0.085,0.3962,56
EGFR_160-185_PKT09,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.2814,0.1514,0.6297,0.5667,0.0844,0.0379,0.1889,0.085,0.3962,57
3GT8_raw_PKT20,3GT8_raw,173940,interface_rim_modulator_candidate,medium,0.3062,0.0965,0.6444,0.5333,0.0919,0.0241,0.1933,0.08,0.3893,58
3GT8_raw_PKT20,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3062,0.0965,0.6444,0.5333,0.0919,0.0241,0.1933,0.08,0.3893,59
EGFR_170-200_PKT28,EGFR_170-200,173940,interface_rim_modulator_candidate,medium,0.3102,0.1145,0.5644,0.65,0.0931,0.0286,0.1693,0.0975,0.3885,60
