rank,pocket_id,receptor_id,ligand_id,mechanistic_class,perturbation_score,adjusted_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,overall_druggability_tier,ligand_support_strength,state_class,accessibility_label,state_caveat
30,EGFR_160-185_PKT07,EGFR_160-185,97806,interface_rim_modulator_candidate,0.4091,low,0.2814,0.1532,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
31,EGFR_160-185_PKT07,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.4091,low,0.2814,0.1532,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
32,3GT8_raw_PKT02,3GT8_raw,97806,interface_rim_modulator_candidate,0.408,low,0.2798,0.1508,0.6297,0.65,rim_candidate,1,tier_3,strong,state_robust_pocket,always_accessible,
33,3GT8_raw_PKT02,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.408,low,0.2798,0.1508,0.6297,0.65,rim_candidate,1,tier_3,strong,state_robust_pocket,always_accessible,
34,EGFR_160-185_PKT12,EGFR_160-185,173940,interface_rim_modulator_candidate,0.4066,low,0.2814,0.1433,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
35,EGFR_160-185_PKT12,EGFR_160-185,97806,interface_rim_modulator_candidate,0.4066,low,0.2814,0.1433,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
36,EGFR_160-185_PKT12,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.4066,low,0.2814,0.1433,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
37,EGFR_170-200_PKT10,EGFR_170-200,173940,interface_rim_modulator_candidate,0.4063,low,0.2814,0.1418,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
38,EGFR_170-200_PKT10,EGFR_170-200,97806,interface_rim_modulator_candidate,0.4063,low,0.2814,0.1418,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
39,EGFR_170-200_PKT10,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,0.4063,low,0.2814,0.1418,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
40,EGFR_160-185_PKT07,EGFR_160-185,173940,interface_rim_modulator_candidate,0.4061,low,0.2814,0.1532,0.6197,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
41,EGFR_160-185_PKT15,EGFR_160-185,173940,interface_rim_modulator_candidate,0.4061,low,0.2814,0.1412,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
42,EGFR_160-185_PKT15,EGFR_160-185,97806,interface_rim_modulator_candidate,0.4061,low,0.2814,0.1412,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
43,EGFR_160-185_PKT15,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.4061,low,0.2814,0.1412,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
44,EGFR_170-200_PKT17,EGFR_170-200,97806,interface_rim_modulator_candidate,0.406,medium,0.3386,0.1328,0.5791,0.65,rim_candidate,3,tier_3,moderate,state_shifted_pocket,always_accessible,
45,EGFR_170-200_PKT12,EGFR_170-200,97806,interface_rim_modulator_candidate,0.4056,low,0.2814,0.1391,0.6297,0.65,rim_candidate,1,tier_3,strong,state_shifted_pocket,always_accessible,
46,3GT8_raw_PKT02,3GT8_raw,173940,interface_rim_modulator_candidate,0.405,low,0.2798,0.1508,0.6197,0.65,rim_candidate,1,tier_3,strong,state_robust_pocket,always_accessible,
47,EGFR_160-185_PKT23,EGFR_160-185,173940,interface_rim_modulator_candidate,0.403,low,0.2814,0.1289,0.6297,0.65,rim_candidate,1,tier_3,strong,state_robust_pocket,always_accessible,
