rank,pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,perturbation_score,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,hotspot_overlap_fraction,overall_druggability_tier,ligand_support_strength,pose_support_count,best_affinity_kcal,state_class,n_states_matched,classification_basis
21,3GT8_raw_PKT05,3GT8_raw,173940,interface_rim_modulator_candidate,medium,0.4163,0.3062,0.1346,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=2; ligand_support=strong
22,3GT8_raw_PKT05,3GT8_raw,97806,interface_rim_modulator_candidate,medium,0.4163,0.3062,0.1346,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=2; ligand_support=strong
23,3GT8_raw_PKT05,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,medium,0.4163,0.3062,0.1346,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=2; ligand_support=strong
24,3GT8_raw_PKT11,3GT8_raw,173940,interface_rim_modulator_candidate,medium,0.4123,0.3062,0.1184,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=2; ligand_support=strong
25,3GT8_raw_PKT11,3GT8_raw,97806,interface_rim_modulator_candidate,medium,0.4123,0.3062,0.1184,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=2; ligand_support=strong
26,3GT8_raw_PKT11,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,medium,0.4123,0.3062,0.1184,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=2; ligand_support=strong
27,3GT8_raw_PKT01,3GT8_raw,173940,interface_rim_modulator_candidate,low,0.4095,0.2798,0.1568,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
28,3GT8_raw_PKT01,3GT8_raw,97806,interface_rim_modulator_candidate,low,0.4095,0.2798,0.1568,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
29,3GT8_raw_PKT01,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,low,0.4095,0.2798,0.1568,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
30,EGFR_160-185_PKT07,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.4091,0.2814,0.1532,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
31,EGFR_160-185_PKT07,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.4091,0.2814,0.1532,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
32,3GT8_raw_PKT02,3GT8_raw,97806,interface_rim_modulator_candidate,low,0.408,0.2798,0.1508,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
33,3GT8_raw_PKT02,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,low,0.408,0.2798,0.1508,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,10,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
34,EGFR_160-185_PKT12,EGFR_160-185,173940,interface_rim_modulator_candidate,low,0.4066,0.2814,0.1433,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
35,EGFR_160-185_PKT12,EGFR_160-185,97806,interface_rim_modulator_candidate,low,0.4066,0.2814,0.1433,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
36,EGFR_160-185_PKT12,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,low,0.4066,0.2814,0.1433,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
37,EGFR_170-200_PKT10,EGFR_170-200,173940,interface_rim_modulator_candidate,low,0.4063,0.2814,0.1418,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=1; ligand_support=strong
