label,construct_type,receptor_pdb,receptor_info,receptor_description,partner_pdb,partner_range,known_artifacts,status,results_dir
EGFR_dimer_beta_meander,legacy_clobe_fragment,input/PPI/prepared/EGFR_dimer_beta_meander.pdb,input/PPI/prepared/EGFR_dimer_beta_meander_info.json,EGFR dimer (A+B merged) × C-lobe fragment (45 res),input/PPI/beta_meander.pdb,960-1006,N-lobe absence; VAL962 N-terminal artifact; no orientation filter,historical_reference_only,output/egfr_myo1d_vina/ppi/beta_meander
EGFR_dimer_TH1,legacy_clobe_fragment,input/PPI/prepared/EGFR_dimer_TH1.pdb,input/PPI/prepared/EGFR_dimer_TH1_info.json,EGFR dimer (A+B merged) × TH1 domain (206 res),input/PPI/TH1 domain.pdb,801-1006,N-lobe absence; TH1 noise (not primary search input),historical_reference_only,output/egfr_myo1d_vina/ppi/TH1
