receptor_id,pocket_id,fpocket_support,fpocket_score,fpocket_druggability,p2rank_support,p2rank_score,p2rank_probability,n_tools_supporting,consensus_pocket,ftmap_support,ftmap_hotspot_count
EGFR_170-200,EGFR_170-200_PKT07,true,0.032,0.021,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT08,true,-0.011,0.014,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT09,true,-0.602,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT10,true,-0.146,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT11,true,-0.001,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT12,true,-0.138,0.01,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT13,true,-0.142,0.001,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT14,true,-0.011,0.001,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT15,true,-0.181,0.002,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT16,true,-0.023,0.003,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT17,true,-0.119,0.001,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT18,true,-0.035,0.001,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT19,true,-0.134,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT20,true,-0.061,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT21,true,-0.063,0.001,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT22,true,-0.064,0.002,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT23,true,-0.064,0.043,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT24,true,-0.066,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT25,true,-0.145,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT26,true,-0.107,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT27,true,-0.083,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT28,true,-0.085,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT29,true,-0.095,0.004,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT30,true,-0.126,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT31,true,-0.43,0.001,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT32,true,-0.187,0.004,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT33,true,-0.228,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT34,true,-0.25,0.375,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT35,true,-0.279,0.001,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT36,true,-0.32,,false,,,1,false,false,
EGFR_170-200,EGFR_170-200_PKT37,true,-0.321,,false,,,1,false,false,
