id,dG_separated,L_RMSD,L_RMSD_best,dSASA
3,-6.867576502802649,94.73670296889003,67.21371273662123,388.26644960488676
7,-9.906889892318986,106.88371998474342,66.63812715090192,641.1452734286397
1,-6.46167379962003,101.46739736440921,45.95493618264113,460.22964036956887
73,-7.898122690035052,105.58191030830248,64.50501288725648,546.5663699552576
89,-10.163999773699743,116.06071704450021,60.260595549618166,968.3192185521549
127,-8.21508466461296,110.97420133250954,51.7472483567258,599.4986301825337
148,-5.18457567483938,94.2959554187836,44.33858821872605,299.3253707374479
144,-10.371115403116391,105.53592146141231,59.765375139719026,912.8437188380047
229,-9.098968814617592,105.70485389797668,64.47855691836874,771.8676030911172
235,-6.6581003768271785,118.91176067877852,86.79812024483205,551.5144947399449
253,-10.117852502227834,106.86477493885226,60.85154022421656,620.8890984852771
313,-7.924387703161983,107.65298137521727,28.065740573063128,751.3403048232404
332,-6.010172914876193,104.2020646890097,89.6671823462981,377.56526969853
331,-5.88125648317714,105.82997500644717,38.719216981384484,474.4291349575665
342,-7.453705801148544,96.49883334816143,58.928492498611064,721.0561506155811
364,-5.721916812970676,94.44703476454416,64.58650331266595,332.0035349024258
388,-8.33020519147749,113.7134641244476,68.24851895988996,595.7342109676056
405,-10.17543801875604,104.10180224812399,67.68220175831492,375.73796427082436
399,-9.808016270302232,108.65790397548209,60.70142650478681,694.6380403274295
416,-7.262071245774905,113.4964061683363,42.0943548383087,629.7839479430273
421,-11.38538961976792,96.6227479131162,52.65692149676543,589.1078939294837
428,-8.95513846123572,105.90782640216796,72.75611871813678,378.08212762470623
462,-5.392789370406945,102.60061309876927,67.12986459993719,270.2929433982624
503,-8.649491972633541,114.49650729122718,67.9269993945283,863.1227092940203
513,-7.986196959801646,115.30026309376174,72.30381448874687,563.9466999554487
549,-12.282306930535697,116.84440816214858,39.609262603901605,559.5254784364099
566,-6.242981409304775,97.10529466997161,63.109289493309866,158.9126550301231
595,-6.070620988834662,95.82565242012214,66.10346637304143,102.51284445815463
613,-10.26219348944619,99.0436853388909,37.8806191473771,641.4071736576846
621,-5.215607739381539,107.65081228157094,74.04865289712961,214.74169639457585
636,-7.84642910567095,102.69684430547234,26.036198591162247,693.3524152863728
654,-7.559058497214664,97.67568949342069,62.03573185991608,589.7409209706726
681,-8.65952371369167,112.1972765422677,55.92589734095102,739.8793947290186
708,-8.917798552948398,106.63818768792747,60.187436907751746,631.7737861876979
704,-7.138139085097691,113.03577847480437,57.14249262982952,982.977416695652
745,-7.1219807986508386,100.16215472694427,54.62507799376226,347.7866559264753
754,-8.415040638979463,104.66114694380944,62.470533739770325,687.9961316813235
794,-9.857703007886357,105.69176642326191,22.22905818384867,276.77127202985275
793,-8.304727435255245,110.21523433249979,66.98866189821837,623.0747549150022
799,-6.554521483405097,95.57550207028571,56.818310595471814,440.63293614481756
797,-6.201878475279727,102.94412585053942,67.97508024129388,767.7083671283314
816,-6.397931655455068,98.58602702297843,60.19001053331407,507.05936074575635
821,-7.041341014800764,120.00045215000743,61.73143518911574,519.3663366481748
827,-8.371516114139922,99.25835910915539,75.20823837948295,405.4448876742261
826,-9.064794130365271,106.71506067740735,62.74860179554279,649.8090180223693
819,-11.732946727377112,107.10658087373956,49.66215400127531,579.7392612714963
859,-8.905696594748179,111.19442226327058,23.80452294291063,548.8955777767045
884,-8.701923255691554,114.12744521033277,53.47388518835617,538.2808343319255
945,-7.0705249896655005,104.5581873402588,62.04081911868727,576.1122731603797
952,-5.415449691578715,96.1050923215625,64.43680915114057,399.3192474208597
959,-7.813613274945283,109.52565732726299,73.15454588848954,396.8711477707669
970,-12.450494092956205,112.22558074321866,9.999999285374943e-08,677.775755077306
977,-5.865136723868773,107.93644453058306,70.41557178164578,701.0674997399641
