id,dG_separated,L_RMSD,L_RMSD_best,dSASA
1,-8.422079900439712,83.684883439565,29.148359597560518,625.3167816010573
55,-5.914162732276509,81.78376329413334,28.642573026327945,514.8804215915288
73,-5.5071976167701,85.90758176837005,25.749960867344793,523.5315687865686
77,-7.166805598635165,78.46251471607354,28.556057037434545,441.25358298384555
79,-5.425366868947094,89.35645826528868,23.48505259873502,663.057067700444
106,-6.345523847526692,91.91284692716037,25.67344777603593,674.3410169225514
120,-6.539993926541683,85.3772824378288,16.166532007992284,561.9840578190335
114,-5.318347458514836,90.79677866423604,29.335605028940503,464.70605307806505
119,-5.2333577989588775,83.82529794819109,24.748642400062355,512.7018550770762
145,-5.71166282724289,78.95989221458636,29.83916007281078,490.4966748365207
177,-6.255637681065764,89.63012518151649,20.355348389684007,360.2417288336894
182,-5.758632413787836,83.85765903529844,31.246888345757313,609.2428887236258
196,-7.121902032428352,93.0422660815381,22.580550431183887,815.7344447721003
213,-8.51230719522573,83.59072991803595,30.634555819853993,538.3172302645937
226,-6.6634326456050985,80.36014486576214,30.031775320682026,859.0514534395727
263,-7.627171379549964,88.16510615956172,27.613611200436175,870.5221839197186
295,-8.912644920140337,79.18609486521741,40.525390704345526,546.1903639782267
309,-4.903260065881568,89.59998547910654,28.19485589554379,496.69813994961237
317,-8.990617864090382,90.91415147772895,27.732742711674142,936.3042252038024
331,-6.3736430265221315,75.4173218085311,46.10731509366586,381.0950390918012
357,-6.525245581639865,94.71830276230203,21.744234020956675,418.00692987204036
364,-7.841547044566596,76.84352352909688,40.647935990262376,465.28838800075727
363,-6.822919235189147,84.88418840703045,30.345191474787566,360.51413982334077
372,-7.294504484746994,82.68080025842819,32.89077516432884,393.6392091180751
389,-6.439104554257028,84.50662885237612,27.439681985908944,1050.7625296986455
448,-5.052261515415466,74.20183951691511,39.64464823880999,620.4300381069079
443,-6.437197656537592,89.40602774971109,21.19695751394175,635.5423166226417
458,-6.234450761741755,84.87674164028186,21.060122568827673,539.1829058165641
463,-7.043678316837486,78.09793676292443,40.35534858230226,406.55810521326146
474,-9.428610223968008,85.76915517477097,21.64733524994593,594.7968062618878
482,-5.119212959824381,80.92789269103496,36.99560003777377,480.9504917729827
495,-5.288387328523186,85.1054561409001,18.961383286199414,501.70956200850554
505,-7.250369445187516,87.61361479976554,26.389736545813786,691.3692325639165
532,-5.893811592138718,85.50355995633889,21.887355556310087,279.14747962880136
566,-5.2201017693282665,78.53188577891474,36.33734086174167,456.8201668253641
557,-6.883909487958135,91.1816807372933,23.11001416159447,752.7026622952335
569,-8.116325578650503,92.40317568138646,19.659331170859428,775.2522774459059
584,-6.273095466266568,89.90432824940764,19.457979678978653,401.4633960424632
625,-11.155766903536914,86.41098459829905,28.257560274475676,791.0272613571314
648,-7.492593124434734,85.8735492228117,20.48680782419167,569.0758502901527
677,-5.996465351674942,84.94935983424993,30.66141683280727,460.3303652599563
698,-6.741372539843269,94.03123065085587,26.948738759946316,1129.6353393456334
702,-5.946196057553152,83.09435263703423,25.496198537026544,454.3002682083536
699,-6.060570070162612,88.86499459218308,19.68241607615204,740.3593214882223
721,-7.720766983170051,83.38693532738668,30.283705000929583,745.8571086320046
718,-7.638469934436671,82.17751987431495,18.12307875819469,325.5577469651118
717,-6.517610278977827,85.72765374892597,29.002521158101626,456.0254679963083
715,-6.77844058593837,91.22033519107501,19.42967545703734,981.9805001409508
848,-7.01001947886698,81.73772660297921,31.44789071465694,660.2234364541142
862,-6.83699004908658,85.69322534126147,31.353954188722025,467.1179972630755
878,-5.342851308916579,78.32857141555505,37.40225685884226,258.5716844787756
903,-7.280475084997306,82.0143623983988,23.67172550390483,518.4204380067638
944,-8.999189903272054,77.20095672314872,33.309129966545655,451.89398664713855
938,-7.881086424742989,85.2078855183121,29.001673001266465,434.3412413879071
950,-6.988168646525082,88.19341069957092,25.43421271914129,689.2619452961154
965,-9.78284259828024,85.94044283512201,26.807546597066732,865.5567920109651
1034,-7.486619483309369,84.000895561339,33.10964614553356,721.026348148976
1057,-5.141341883703717,82.47157574940019,30.853634592175755,586.2393173130191
1059,-9.852052755781187,86.06656721578035,34.25050082769132,898.2975242903722
1109,-7.358813567839661,85.26314616592292,21.38770585987956,682.7439007277685
1106,-7.399767567127128,85.3055186950807,28.492984613940223,620.3674156933463
